State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Perak,PERAK | GOPENG,Freehold,Terrace House,192.0,71,268000.0
Penang,PENANG | KEPALA BATAS,Freehold,Terrace House,366.0,71,613000.0
Selangor,SELANGOR | BANDAR PUNCAK ALAM,Leasehold,Cluster House,288.0,71,400000.0
Selangor,SELANGOR | BANGI,Freehold,Service Residence,508.0,71,432000.0
Johor,JOHOR | TEBRAU,Freehold,Cluster House,464.0,70,719000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,177.0,70,260000.0
Selangor,SELANGOR | BANDAR SRI DAMANSARA,Freehold,Terrace House,564.0,70,894000.0
Johor,JOHOR | ULU TIRAM,Freehold,Terrace House,357.0,70,495000.0
Selangor,SELANGOR | CHERAS,Freehold,Terrace House,543.0,70,775000.0
Pahang,PAHANG | KUANTAN,Leasehold,Terrace House,231.0,69,388000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Semi D,325.0,69,750000.0
Johor,JOHOR | KLUANG,Freehold,Semi D,107.0,69,150000.0
Johor,JOHOR | TEBRAU,Freehold,Semi D,345.0,69,828000.0
Selangor,SELANGOR | SETIA ALAM,Freehold,Semi D,584.0,69,930000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,580.0,68,1260000.0
Johor,JOHOR | SKUDAI,Freehold,Cluster House,426.0,68,550000.0
Selangor,SELANGOR | KAJANG,Freehold,Terrace House,542.0,67,768800.0
Negeri Sembilan,NEGERI SEMBILAN | KUALA PILAH,Freehold,Terrace House,192.0,67,298000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,417.0,67,584999.0
Perak,PERAK | IPOH,Mixed,Semi D,344.0,67,496800.0
Selangor,SELANGOR | KAPAR,Freehold,Terrace House,403.0,66,427500.0
Negeri Sembilan,NEGERI SEMBILAN | LINGGI,Freehold,Terrace House,131.0,66,180000.0
Selangor,SELANGOR | BANDAR SUNWAY,Leasehold,Apartment,516.0,66,400000.0
Selangor,SELANGOR | TELOK PANGLIMA GARANG,Leasehold,Terrace House,287.0,65,455000.0
Selangor,SELANGOR | BERANANG,Freehold,Semi D,293.0,64,400000.0
Perak,PERAK | IPOH,Leasehold,Terrace House,349.0,64,487800.0
Perak,PERAK | SERI ISKANDAR,Leasehold,Cluster House,175.0,64,240000.0
Kuala Lumpur,KUALA LUMPUR | TAMAN TUN DR ISMAIL,Freehold,Terrace House,768.0,64,1585000.0
Perak,PERAK | KAMUNTING,Leasehold,Terrace House,131.0,63,171000.0
Selangor,SELANGOR | BANDAR SUNGAI LONG,Freehold,Terrace House,440.0,63,690000.0
Kuala Lumpur,KUALA LUMPUR | SRI PETALING,Leasehold,Semi D,511.0,63,845000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Semi D,166.0,63,215000.0
Perak,PERAK | IPOH,Leasehold,Terrace House,156.0,62,228000.0
Johor,JOHOR | TEBRAU,Freehold,Cluster House,549.0,62,1201200.0
Johor,JOHOR | ULU TIRAM,Freehold,Terrace House,501.0,62,620000.0
Selangor,SELANGOR | SHAH ALAM,Freehold,Terrace House,321.0,61,330000.0
Johor,JOHOR | PENGERANG,Leasehold,Terrace House,67.0,60,80000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,207.0,60,280000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Terrace House,322.0,60,600000.0
Selangor,SELANGOR | BANGI,Freehold,Cluster House,416.0,60,857000.0
Selangor,SELANGOR | SERENDAH,Leasehold,Terrace House,188.0,60,300000.0
Kuala Lumpur,KUALA LUMPUR | JALAN KUCHING,Freehold,Condominium,619.0,60,650000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,152.0,59,220000.0
Selangor,SELANGOR | BATU ARANG,Leasehold,Terrace House,272.0,59,590000.0
Sarawak,SARAWAK | KOTA SAMARAHAN,Mixed,Terrace House,168.0,59,300000.0
Sarawak,SARAWAK | MIRI,Leasehold,Terrace House,182.0,59,288000.0
Kuala Lumpur,KUALA LUMPUR | JALAN KUCHING,Freehold,Condominium,669.0,59,850000.0
Selangor,SELANGOR | SEMENYIH,Freehold,Terrace House,354.0,58,670000.0
Selangor,SELANGOR | PETALING JAYA,Freehold,Terrace House,625.0,58,1120000.0
Selangor,SELANGOR | KLANG,Freehold,Bungalow,546.0,58,1590000.0
Penang,PENANG | SIMPANG AMPAT,Freehold,Terrace House,270.0,58,425000.0
Selangor,SELANGOR | BERANANG,Freehold,Cluster House,431.0,58,854000.0
Johor,JOHOR | KLUANG,Freehold,Terrace House,258.0,58,614000.0
Melaka,MELAKA | KRUBONG,Freehold,Terrace House,290.0,57,405800.0
Perak,PERAK | TAIPING,Freehold,Terrace House,203.0,57,299000.0
Johor,JOHOR | KLUANG,Freehold,Terrace House,253.0,57,538000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,464.0,57,600000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,264.0,57,400000.0
Selangor,SELANGOR | KOTA DAMANSARA,Leasehold,Condominium,525.0,57,530000.0
Perak,PERAK | SITIAWAN,Leasehold,Terrace House,50.0,56,116000.0
Johor,JOHOR | MASAI,Freehold,Terrace House,305.0,56,496500.0
Melaka,MELAKA | BEMBAN,Leasehold,Terrace House,150.0,56,230435.0
Penang,PENANG | KEPALA BATAS,Freehold,Cluster House,260.0,55,310000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,200.0,55,228000.0
Johor,JOHOR | TEBRAU,Freehold,Semi D,441.0,55,700000.0
Penang,PENANG | NIBONG TEBAL,Freehold,Bungalow,274.0,55,960000.0
Penang,PENANG | BUKIT MERTAJAM,Freehold,Semi D,311.0,54,900000.0
Perak,PERAK | IPOH,Leasehold,Semi D,357.0,54,499800.0
Selangor,SELANGOR | KLANG,Freehold,Terrace House,468.0,54,767500.0
Johor,JOHOR | KOTA TINGGI,Freehold,Terrace House,271.0,54,380000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,165.0,54,230000.0
Kuala Lumpur,KUALA LUMPUR | WANGSA MAJU,Leasehold,Flat,380.0,54,224500.0
Sabah,SABAH | PAPAR,Leasehold,Apartment,218.0,54,115000.0
Negeri Sembilan,NEGERI SEMBILAN | TELOK KEMANG,Freehold,Terrace House,177.0,53,230000.0
Terengganu,TERENGGANU | HULU TERENGGANU,Mixed,Bungalow,62.0,53,200000.0
Perak,PERAK | LUMUT,Leasehold,Terrace House,120.0,53,155500.0
Melaka,MELAKA | MERLIMAU,Freehold,Terrace House,127.0,53,179800.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,372.0,53,420000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,363.0,53,540000.0
Selangor,SELANGOR | SETIA ALAM,Freehold,Bungalow,534.0,53,2450000.0
Negeri Sembilan,NEGERI SEMBILAN | LENGGENG,Freehold,Bungalow,105.0,53,435000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Semi D,321.0,53,700000.0
Selangor,SELANGOR | TANJONG DUABELAS,Leasehold,Terrace House,282.0,53,410000.0
Selangor,SELANGOR | SERENDAH,Freehold,Terrace House,385.0,52,452000.0
Negeri Sembilan,NEGERI SEMBILAN | RANTAU,Freehold,Terrace House,67.0,52,80000.0
Selangor,SELANGOR | RAWANG,Freehold,Semi D,383.0,52,795000.0
Selangor,SELANGOR | ULU KLANG,Freehold,Semi D,483.0,51,686000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Semi D,267.0,51,499900.0
Selangor,SELANGOR | SEMENYIH,Freehold,Terrace House,292.0,51,400000.0
Kuala Lumpur,KUALA LUMPUR | DAMANSARA HEIGHTS,Freehold,Bungalow,700.0,51,3600000.0
Negeri Sembilan,NEGERI SEMBILAN | SEREMBAN,Leasehold,Terrace House,317.0,50,411800.0
Selangor,SELANGOR | SABAK BERNAM,Leasehold,Cluster House,179.0,50,250000.0
Melaka,MELAKA | TANJONG MINYAK,Freehold,Terrace House,138.0,50,180000.0
Johor,JOHOR | PASIR GUDANG,Freehold,Terrace House,273.0,50,375000.0
Selangor,SELANGOR | KLANG,Leasehold,Terrace House,344.0,50,411640.0
Perak,PERAK | PARIT BUNTAR,Leasehold,Terrace House,267.0,50,368800.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Condominium,505.0,50,814800.0
Kuala Lumpur,KUALA LUMPUR | CHERAS,Freehold,Condominium,648.0,50,600000.0
Penang,PENANG | SEBERANG JAYA,Leasehold,Terrace House,294.0,49,280000.0
Selangor,SELANGOR | SERENDAH,Freehold,Terrace House,332.0,49,430000.0
Johor,JOHOR | SKUDAI,Freehold,Terrace House,283.0,49,400000.0
Johor,JOHOR | PASIR GUDANG,Leasehold,Semi D,245.0,49,270000.0
Johor,JOHOR | KULAI,Freehold,Terrace House,382.0,49,499000.0
Selangor,SELANGOR | SERI KEMBANGAN,Leasehold,Terrace House,338.0,49,508000.0
